Carimbo de data/hora,Idade:,Género:,Profissão:,Quais eram os seus principais objetivos quando se inscreveu no ginásio?,O que é que o levou a escolher o Liberty Fitness Center? (de entre os diferentes centros de fitness em que se ponderou inscrever).,O que é que mais valoriza no Liberty Fitness Center?,"Se frequenta as aulas de grupo, quais são as suas favoritas?",Quais destas redes social / plataformas online que costuma utilizar?,Como é que nos conheceu?,"De 1 a 10, com base na sua satisfação, qual seria a probabilidade de indicar o nosso Fitness Center a um amigo?"
2023/08/01 00:16:30,32,Masculino,Contabilista ,"Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular","Sou cliente desde o antigo Liberty, neste momento o ginásio não me cativa da mesma forma. Pelo contrário, vou porque tenho hábitos de treino constantes. Tornou-se num ginásio normal. ","Estacionamento gratuito, Dimensão do espaço, Horários das aulas de grupo",Cycling,"Facebook, WhatsApp, Google",Qualidade/preço ,5
2023/08/01 00:33:15,55,Feminino,Licenciada em ed. fidica,"Recuperar a mobilidade, Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular, Melhorar a autoestima",Continuar com o mesmo PT,Presença de PTs e professores,Cycling,"Instagram, Facebook, WhatsApp",Parceiros,7
2023/08/01 01:31:01,33,Masculino,Vigilante ,"Perder peso, Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular, Melhorar a autoestima",Na altura por ser perto de casa,"Estacionamento gratuito, Número de máquinas, Dimensão do espaço, Simpatia do staff",,"Instagram, WhatsApp, Google",Recomendação de um amigo,10
2023/08/01 02:22:06,25,Feminino,Informático,"Previnir problemas de saúde, Aumentar a massa muscular, Melhorar a autoestima",Que estava no centro.,"Condições dos balneários, Simpatia do staff, Acompanhamento dado a iniciantes, Presença de PTs e professores",Nao.,"Instagram, Facebook, WhatsApp, Telegram, Google",Pesquisa Google,10
2023/08/01 06:44:56,43,Masculino,Cabeleireiro ,"Aumentar a flexibilidade, Recuperar a mobilidade, Previnir problemas de saúde, Aumentar a massa muscular, Melhorar a autoestima",Na altura a localização ,"Dimensão do espaço, Horários das aulas de grupo, Presença de PTs e professores",Crosstraining ,"Instagram, Facebook",Visibilidade que tinha na avenida da liberdade ,7
2023/08/01 07:34:45,59,Feminino,Funcionária Pública ,"Perder peso, Previnir problemas de saúde, Aumentar a massa muscular",Era perto de casa e do local de trabalho,"Estacionamento gratuito, Pouco tempo de espera para usar as máquinas, Simpatia do staff, Acompanhamento dado a iniciantes, Presença de PTs e professores",,,Recomendação de um amigo,8
2023/08/01 08:35:42,56,Feminino,contabilista,"Perder peso, Aumentar a flexibilidade, Recuperar a mobilidade, Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular, Melhorar a autoestima",1º pela localização e depois pelas condições do ginásio,"Estacionamento gratuito, Número de máquinas, Dimensão do espaço, Pouco tempo de espera para usar as máquinas, Horários das aulas de grupo, Simpatia do staff",CICLING,"Instagram, Facebook, WhatsApp",Pela localização das 1ªs instalações,8
2023/08/01 08:57:40,71 anos,Masculino,Aposentado,,,Simpatia do staff,Cycling ,Facebook,Recomendação de um amigo,10
2023/08/01 09:17:09,38,Feminino,Programadora software,"Perder peso, Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular, Melhorar a autoestima",a variedade diversa de aulas que tinha no final da tarde (porque neste momento já não tem). Nisso piorou. O numero de aulas ao final da tarde diminuiu.,"Estacionamento gratuito, Dimensão do espaço, Horários das aulas de grupo",Pump e attack,"Instagram, Facebook, WhatsApp, Google",,4
2023/08/01 09:17:31,38,Feminino,Gestora de Projetos Educativos,"Perder peso, Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular",Já estava inscrita no anterior Liberty e dei seguimento à inscrição por querer manter-me no mesmo espaço e com as mesmas pessoas (colegas e professores).,"Estacionamento gratuito, Número de máquinas, Horários das aulas de grupo, Professores profissionais nas aulas de grupo, embora dois dos professores das aulas que frequentava tenham saído, o que me leva a desmotivar de frequentar o ginásio (André e Marco).","Body Attack; Cycling, Cross Training e Zumba.","Instagram, Facebook, WhatsApp, Google","Já conhecia do outro espaço, no centro.",7
2023/08/01 09:29:02,40,Masculino,Engenheiro civil,"Previnir problemas de saúde, Aumentar a massa muscular",Considero que foi e continua a ser o que mais me agradou.,"Estacionamento gratuito, Condições dos balneários, Simpatia do staff, Profissionalismo da administração perceptível nos detalhes.  ",,"Instagram, WhatsApp",Venho do antigo Liberty.,10
2023/08/01 09:38:06,49,Feminino,Técnica Superior - Função Pública,"Aumentar a flexibilidade, Aumentar a massa muscular",Qualificação e qualidade do trabalho do pessoal técnico,"Estacionamento gratuito, Número de máquinas, Dimensão do espaço, Horários das aulas de grupo, Simpatia do staff, Equipamentos especializados, Acompanhamento dado a iniciantes, Presença de PTs e professores, qualidade e profissionalismo do pessoal técnico","Pilates, localizada e cycling","Instagram, Facebook",Recomendação de um amigo,10
2023/08/01 09:52:45,44,Masculino,Contabilista,"Perder peso, Recuperar a mobilidade, Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental, Melhorar a autoestima",Opiniões favoráveis de amigos,Tudo,,"Instagram, Facebook, WhatsApp",Recomendação de um amigo,10
2023/08/01 10:03:25,33,Feminino,Engenheira Civil,"Perder peso, Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular, Melhorar a autoestima","A localização, quando o liberty estava no centro. Quando mudou de instalações mantive-me por causa dos professores das aulas de grupo (Mathieu, Dulce, António, Carlos, André Silva, André Ferreira e Marco Poço).
A quantidade/variedade de aulas de grupo disponíveis a partir das 18:30.","Condições dos balneários, Horários das aulas de grupo, Simpatia do staff, Variedade das aulas de grupo ao final do dia.","Cross, Pump, Localizada, Pilates e Cycling","Instagram, WhatsApp, Google",Sou sócia fundadora do liberty do centro,4
2023/08/01 10:07:24,30,Feminino,Assistente empresarial,"Perder peso, Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular","Variedade de aulas de grupo, com horários acessíveis e compatíveis com o horário de trabalho, e a curta distância da residência.","Estacionamento gratuito, Condições dos balneários, Horários das aulas de grupo","Body attack, body pump, glúteos/sixpack, localizada, 3B e pilates","Instagram, Facebook, Google",Recomendação de um amigo,7
2023/08/01 10:16:13,37,Feminino,Caixa,"Perder peso, Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental, Melhorar a autoestima",Preço e localização ,"Número de máquinas, Dimensão do espaço, Condições dos balneários",,"Instagram, WhatsApp",Publicidade em casa,10
2023/08/01 10:33:30,54 anos ,Feminino,Operária especializada 1°,Perder peso,Variedade das aulas de grupo,Presença de PTs e professores,Body Pump e Cycling ,"Instagram, Facebook",Recomendação de família ,8
2023/08/01 10:38:01,49,Feminino,socia gerente / enfermeira,"Perder peso, Aumentar a flexibilidade, Recuperar a mobilidade, Previnir problemas de saúde, Aumentar a massa muscular, Melhorar a autoestima",Localização e boas referencias,"Estacionamento gratuito, Número de máquinas, Dimensão do espaço, Pouco tempo de espera para usar as máquinas",,Facebook,Recomendação de um amigo,8
2023/08/01 10:53:48,57,Feminino,Administrativa,"Previnir problemas de saúde, Aumentar a massa muscular",,Estacionamento gratuito,,"Instagram, WhatsApp, Google",Parceiros,5
2023/08/01 11:45:46,56,Feminino,professora ensino secundário,"Perder peso, Aumentar a flexibilidade, Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental",Desafio de amiga cliente,"Estacionamento gratuito, Número de máquinas, Dimensão do espaço, Simpatia do staff, Equipamentos especializados",Pilates e cycling,"WhatsApp, Google",Recomendação de um amigo,10
2023/08/01 13:42:49,34,Feminino, ,"Perder peso, Previnir problemas de saúde, Aumentar a massa muscular",Estou inscrita desde o início. ,"Estacionamento gratuito, Número de máquinas, Dimensão do espaço, Pouco tempo de espera para usar as máquinas, Simpatia do staff","Localizada, 3B, Zumba, Pilates","WhatsApp, Google",Estou inscrita desde o início ,8
2023/08/01 13:49:50,35,Feminino,Contabilista,"Perder peso, Previnir problemas de saúde",A equipa e a oferta serviço de qualidade ,Horários das aulas de grupo,Cicling ,Instagram,Recomendação de um amigo,7
2023/08/01 14:20:16,23,Feminino,Engenheira de Polímeros ,"Previnir problemas de saúde, Aumentar a massa muscular",Qualidade de preço,"Estacionamento gratuito, Número de máquinas, Pouco tempo de espera para usar as máquinas, Horários das aulas de grupo, Equipamentos especializados, Mensalidade ","Localizada, Gap, Glúteos e sixpack","Instagram, Facebook",Pesquisa Google,7
2023/08/01 14:41:34,37,Masculino,Reporter de Imagem,"Aumentar a flexibilidade, Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental",Inicialmente a localização,"Dimensão do espaço, Condições dos balneários, Simpatia do staff, Equipamentos especializados, Presença de PTs e professores",,"Instagram, WhatsApp",Regus,10
2023/08/01 15:09:01,49,Masculino,Professor,"Perder peso, Aumentar a flexibilidade, Recuperar a mobilidade, Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular, Melhorar a autoestima",Localização + aulas de pilates,"Horários das aulas de grupo, Simpatia do staff",Pilates & Cycling,"WhatsApp, Twitter",Moro perto das antigas instalações,7
2023/08/01 15:15:02,36,Masculino,Mecânico ,Aumentar a massa muscular,Localização ,"Estacionamento gratuito, Dimensão do espaço",Cycling ,"Instagram, WhatsApp, Telegram, Google",Recomendação de um amigo,6
2023/08/01 15:27:22,29,Masculino,,"Perder peso, Previnir problemas de saúde, Aumentar a massa muscular",Preço acessível e era o mais perto.,"Simpatia do staff, Presença de PTs e professores",Body Pump,,Recomendação de um amigo,8
2023/08/01 15:39:33,44,Feminino,Professora ,"Perder peso, Aumentar a massa muscular, Melhorar a autoestima","Já frequentava, custo mensalidade, Horários das aulas da manhã e professores/ instrutores da manhã ","Dimensão do espaço, Horários das aulas de grupo, Simpatia do staff, Presença de PTs e professores","HIIT, Body Attack","Facebook, WhatsApp",Recomendação de um amigo,9
2023/08/01 15:45:20,23,Feminino,Jurista,"Aumentar a flexibilidade, Aumentar a massa muscular",Localização.,"Número de máquinas, Horários das aulas de grupo, Localização.","Cycling, hit",Instagram,Recomendação de um amigo,6
2023/08/01 15:57:30,34,Masculino,Médico ,"Aumentar a massa muscular, Melhorar a autoestima",Preço e localização (antiga),"Estacionamento gratuito, Dimensão do espaço, Pouco tempo de espera para usar as máquinas",,Instagram,Recomendação de um amigo,8
2023/08/01 16:11:24,53,Feminino,Administrativa,"Aumentar a flexibilidade, Previnir problemas de saúde, Aumentar a massa muscular",a localização,"Estacionamento gratuito, Horários das aulas de grupo, Acompanhamento dado a iniciantes, Presença de PTs e professores, embora de momento não gostar do horário","Pilates, Localizada, Body Pump","Instagram, Facebook, WhatsApp",Recomendação de um amigo,6
2023/08/01 16:15:28,50,Feminino,Gerente de produto,"Perder peso, Previnir problemas de saúde, Aumentar a massa muscular",A localização.,"Estacionamento gratuito, Dimensão do espaço",N/A,"Instagram, WhatsApp",Recomendação de um amigo,1
2023/08/01 16:38:57,36,Feminino,COMERCIAL,Aumentar a massa muscular,O BOM NOME QE TINHA EM AULAS DE GRUPO,NESTE MOMENTO ESTOU TAO DESILUDIDA QUE NADA,eu gostava de frequentar aulas como as que tinham no outro ginásio / única resposta que tenho neste momento para vos dar,"Instagram, Facebook",pessoas que frequentavam as vossas aulas no outro ginásio e adoravam!,1
2023/08/01 16:53:01,33,Feminino,Medica,"Perder peso, Acalmar o stress / Razões de Saúde Mental",Preço ,"Estacionamento gratuito, Horários das aulas de grupo",Pilates e cycling,"Instagram, Facebook, WhatsApp",Facebook,6
2023/08/01 16:53:30,33,Feminino,,"Aumentar a flexibilidade, Aumentar a massa muscular",Ambiente,"Estacionamento gratuito, Presença de PTs e professores",3B e cycling,WhatsApp,Recomendação de um amigo,7
2023/08/01 16:55:36,35,Feminino,,"Perder peso, Aumentar a massa muscular",Localização ,"Estacionamento gratuito, Presença de PTs e professores",,"Instagram, WhatsApp",Recomendação de um amigo,7
2023/08/01 17:03:19,49,Masculino,Diretor industrial,"Aumentar a flexibilidade, Recuperar a mobilidade, Previnir problemas de saúde",,"Estacionamento gratuito, Número de máquinas, Dimensão do espaço, Condições dos balneários, Pouco tempo de espera para usar as máquinas, Simpatia do staff",,,Recomendação de um amigo,7
2023/08/01 17:22:06,29,Feminino,Auxiliar Serviços Gerais ,Aumentar a massa muscular,Perto de casa ,"Estacionamento gratuito, Número de máquinas, Dimensão do espaço, Presença de PTs e professores",,"Instagram, TikTok",Recomendação de um amigo,10
2023/08/01 17:32:49,43,Masculino,Diretor Geral,"Perder peso, Aumentar a flexibilidade, Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental","Venho do "" antigo"" liberty iludido que tudo seria igual","aulas das 7.15, Sabádo e Domingo",Cycling e Pilates,"Instagram, Facebook, WhatsApp",Recomendação de um amigo,1
2023/08/01 17:49:24,61,Masculino,ENGENHEIRO REFORMADO,Previnir problemas de saúde,Próximo a minha residência ,Estacionamento gratuito,,,Visitando os ginásios mais próximos ,7
2023/08/01 18:07:21,37,Masculino,Segurança ,Aumentar a massa muscular,Os maquinários,"Número de máquinas, Dimensão do espaço, Condições dos balneários",,"Instagram, WhatsApp",Recomendação de um amigo,10
2023/08/01 18:27:39,45,Feminino,Professor ,"Aumentar a flexibilidade, Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular, Melhorar a autoestima",Unicamente por continuidade do espaço anterior. ,Estacionamento gratuito,"Bodypump, Localizada e Pilates ","Instagram, WhatsApp, Google","Já conhecia do espaço anterior e o liberty atual pouco tem a ver com o anterior, infelizmente ",1
2023/08/01 18:32:40,26,Feminino,Médica ,"Aumentar a massa muscular, Melhorar a autoestima",Preço ,"Estacionamento gratuito, Simpatia do staff",,"Instagram, Facebook, WhatsApp, Google",Pesquisa Google,8
2023/08/01 18:33:20,50,Feminino,Coordenadora,"Perder peso, Aumentar a flexibilidade, Aumentar a massa muscular",Proximidade,"Estacionamento gratuito, Horários das aulas de grupo","Pump, hit, plus",WhatsApp,Pesquisa Google,7
2023/08/01 19:58:49,76 anos,Masculino,contabilista,"Perder peso, Aumentar a flexibilidade, Aumentar a massa muscular","Antes era o local mais perto a preço acessível, agora que estou habitado ...","Condições dos balneários, Simpatia do staff, Acompanhamento dado a iniciantes",,,Recomendação de um amigo,8
2023/08/01 20:27:34,52,Masculino,Restaurador de arte sacra,"Perder peso, Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular",Fica perto de casa,"Número de máquinas, Dimensão do espaço, Condições dos balneários, Simpatia do staff, Acompanhamento dado a iniciantes, Presença de PTs e professores",,Facebook,Morar à beira ,10
2023/08/01 20:31:43,45,Feminino,Marketing ,"Aumentar a massa muscular, Melhorar a autoestima",Indicações ,"Dimensão do espaço, Horários das aulas de grupo, Presença de PTs e professores",,Instagram,Recomendação de um amigo,8
2023/08/01 21:02:13,40,Feminino,Empregada de balcão ,"Previnir problemas de saúde, Aumentar a massa muscular, Melhorar a autoestima",Para mim tornou se a minha segunda casa,"Estacionamento gratuito, Número de máquinas, Condições dos balneários, Horários das aulas de grupo, Simpatia do staff, Presença de PTs e professores","Hitt,cross,cycling","Instagram, Facebook, WhatsApp",Recomendação de um amigo,10
2023/08/01 21:35:51,27,Feminino,Vendedor ,Aumentar a massa muscular,"Melhorem pf o escoamento da água nos chuveiros. Queria dar os parabéns pela simpatia, amabilidade e disponibilidade da vossa equipa. Já estive noutro ginásio e nunca me senti tão à vontade, os vossos instrutores/pts são na maioria incríveis.","Estacionamento gratuito, Dimensão do espaço, Simpatia do staff, Presença de PTs e professores",Body pump,"Instagram, WhatsApp",Recomendação de um amigo,8
2023/08/01 21:51:23,31,Feminino,Engenheira ,"Perder peso, Aumentar a massa muscular","Espaço, localização ","Estacionamento gratuito, Número de máquinas, Dimensão do espaço",,"Instagram, Facebook, TikTok, WhatsApp",Instagram,9
2023/08/01 22:13:06,25,Feminino,Engenharia,"Aumentar a flexibilidade, Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular","Localização, ser perto de casa","Estacionamento gratuito, Presença de PTs e professores","Pilates, Yoga e 3B",Instagram,Facebook,5
2023/08/01 22:34:25,34,Masculino,Gestor de conta,"Aumentar a massa muscular, Melhorar a autoestima","Fui influenciado por amigos. Depois mantive me pelo ambiente que tinha, especialmente alunos e personal trainers. Atualmente já não é a mesma coisa. Ambiente já não é o mesmo. Estou neste ginásio há mais de 6 anos.","Estacionamento gratuito, O que mais valorizava era o companhamento que há uns anos atrás existia dos personal trainas que faziam sala. Neste momento a maior parte deles está preocupado em falar com raparigas, deixando a sala desarrumada e ignorando por completo as pessoas que precisam de ajuda.","Frequentava Body pump e cycling, com um professor que entretanto saio. Não gostei do facto de terem reduzido ao número de aulas.","Instagram, WhatsApp, Google",Recomendação de um amigo,4
2023/08/01 22:37:46,15,Feminino,Estudante ,"Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular",Familiares ,Estacionamento gratuito,Não ,"Instagram, WhatsApp",Recomendação de um amigo,2
2023/08/01 23:18:12,53,Feminino,Administrativa,"Aumentar a flexibilidade, Previnir problemas de saúde, Aumentar a massa muscular","Proximidade casa. Oferta de aulas de grupo,  excelentes instrutores a dar aulas","Estacionamento gratuito, Número de máquinas, Dimensão do espaço, Condições dos balneários, Pouco tempo de espera para usar as máquinas, Horários das aulas de grupo, Simpatia do staff","Pump, cycling, localizada, pilates","Instagram, Facebook, WhatsApp",Recomendação de um amigo,10
2023/08/02 00:05:16,50,Feminino,Fisioterapeuta ,"Perder peso, Previnir problemas de saúde",As opções de aula de  grupos como zumba ,"Estacionamento gratuito, Equipamentos especializados",Zumba localizado e 3 b ,"Instagram, Facebook, WhatsApp",Inauguração ,10
2023/08/02 04:10:35,64,Feminino,Notário ,"Aumentar a flexibilidade, Recuperar a mobilidade, Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular, Melhorar a autoestima",Aulas de Pilates,"Estacionamento gratuito, Número de máquinas, Horários das aulas de grupo, Simpatia do staff, Presença de PTs e professores",Pilates,"Instagram, Facebook, WhatsApp, Google",Recomendação de um amigo,10
2023/08/02 06:51:58,50,Feminino,Funcionária Pública,"Perder peso, Previnir problemas de saúde",Já frequentava o Liberty Fitness no centro da cidade,Professor da aula de Pilates,Pilates,"Instagram, WhatsApp",Através do ginásio,8
2023/08/02 08:48:33,47,Masculino,Gestor,"Perder peso, Aumentar a flexibilidade, Aumentar a massa muscular",Localização,"Estacionamento gratuito, Dimensão do espaço, Horários das aulas de grupo",Cycling,"Instagram, Facebook, WhatsApp, Google, Twitter",Recomendação de um amigo,7
2023/08/02 09:22:15,37,Feminino,Artista visual,"Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular, Melhorar a autoestima","As aulas em grupo são um diferencial, e a equipa também é muito prestativa, profissionais muito bons","Número de máquinas, Dimensão do espaço, Condições dos balneários, Pouco tempo de espera para usar as máquinas, Horários das aulas de grupo, Simpatia do staff, Equipamentos especializados, Acompanhamento dado a iniciantes, Presença de PTs e professores",Cycling e yoga,"Instagram, TikTok, WhatsApp, Google, Twitter",Instagram,10
2023/08/02 09:30:55,19,Feminino,.,"Aumentar a massa muscular, Melhorar a autoestima",localização antiga ,Simpatia do staff,.,"Instagram, TikTok, WhatsApp, Twitter",Recomendação de um amigo,8
2023/08/02 09:48:54,50,Masculino,hotelaria,"Aumentar a flexibilidade, Aumentar a massa muscular",espaço agradavel e bom estacionamento,"Estacionamento gratuito, Horários das aulas de grupo",bike,Facebook,Recomendação de um amigo,9
2023/08/02 09:50:34,23,Feminino,Estudante ,"Perder peso, Previnir problemas de saúde, Aumentar a massa muscular",Instalações e alguns profissionais ,"Estacionamento gratuito, Número de máquinas, Acompanhamento dado a iniciantes, Presença de PTs e professores",Pump ,"Instagram, TikTok, WhatsApp",Recomendação de um amigo,8
2023/08/02 10:27:49,58,Masculino,,"Perder peso, Aumentar a flexibilidade, Recuperar a mobilidade, Previnir problemas de saúde",Amigos inscritos ,"Estacionamento gratuito, Número de máquinas, Dimensão do espaço, Pouco tempo de espera para usar as máquinas",Não frequento,"Instagram, Facebook, TikTok, WhatsApp, Telegram, Google, Twitter",Recomendação de um amigo,6
2023/08/02 11:19:45,30,Feminino,,"Aumentar a flexibilidade, Aumentar a massa muscular",É perto de casa,"Horários das aulas de grupo, Simpatia do staff, Presença de PTs e professores",Body Attack,"Instagram, Facebook, WhatsApp, Telegram, Twitter",Recomendação de um amigo,8
2023/08/02 11:32:39,29,Masculino,Assisntente administrativo,"Perder peso, Aumentar a flexibilidade, Previnir problemas de saúde, Aumentar a massa muscular, Melhorar a autoestima",O principal motivo foi o facto de ser perto de casa e ter bom estacionamento/acessos.,"Estacionamento gratuito, Número de máquinas, Dimensão do espaço, Condições dos balneários",,"Instagram, Facebook, TikTok, WhatsApp, Telegram, Google, Twitter",,5
2023/08/02 12:17:17,25,Feminino,Médica ,"Recuperar a mobilidade, Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental, Melhorar a autoestima",Promoção em vigor na altura e bom feedback dos professores das aulas,Presença de PTs e professores,"Localizada, 3Bs, Body Pump, pilates ","Instagram, Facebook",Recomendação de um amigo,6
2023/08/02 13:37:31,39,Feminino,Administrativo ,Previnir problemas de saúde,Mapa de aulas de grupo ,Horários das aulas de grupo,3B/ZUMBA/BODY ATACK/PILATES,Facebook,,5
2023/08/02 13:37:50,,,,,,,,,,
2023/08/02 14:42:12,40,Masculino,fotografo,"Perder peso, Recuperar a mobilidade, Previnir problemas de saúde, Aumentar a massa muscular, Melhorar a autoestima",,"Estacionamento gratuito, Horários das aulas de grupo, Simpatia do staff",cycling Hitt crossfit,"Instagram, Facebook, WhatsApp, Google",Recomendação de um amigo,8
2023/08/02 17:41:15,28,Feminino,Lojista,"Perder peso, Previnir problemas de saúde, Aumentar a massa muscular, Melhorar a autoestima",Proximidade a casa,Proximidade,,Instagram,Recomendação de um amigo,6
2023/08/02 19:37:38,39,Feminino,Professora,Acalmar o stress / Razões de Saúde Mental,Amigos,"Horários das aulas de grupo, Cross","Body pump, Cross e pilates",Facebook,Recomendação de um amigo,7
2023/08/03 00:33:55,53,Feminino,,"Aumentar a flexibilidade, Aumentar a massa muscular",A boa relação entre o custo e a oferta de aulas existentes no Liberty ,"Horários das aulas de grupo, Simpatia do staff, Equipamentos especializados","Localizadas, pilates e adorava o cross ","Instagram, Facebook",Recomendação de um amigo,1
2023/08/03 03:24:03,23,Masculino,Assistente de loja,"Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular, Melhorar a autoestima",Preço e condições do espaço,"Estacionamento gratuito, Número de máquinas, Dimensão do espaço, Condições dos balneários, Pouco tempo de espera para usar as máquinas, Simpatia do staff, Equipamentos especializados, Acompanhamento dado a iniciantes, Presença de PTs e professores",,"Instagram, TikTok, WhatsApp, Twitter",Instagram,10
2023/08/03 09:13:21,45,Masculino,Engenheiro ,"Perder peso, Previnir problemas de saúde, Aumentar a massa muscular, Melhorar a autoestima",Localização + mensalidade,"Estacionamento gratuito, Dimensão do espaço, Horários das aulas de grupo",Cycling,"Instagram, Facebook, WhatsApp, Google",Recomendação de um amigo,7
2023/08/03 14:51:15,18,Masculino,Dono da MidiaHost,"Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular, Melhorar a autoestima",Devido há localização e espaços ,"Estacionamento gratuito, Condições dos balneários, Horários das aulas de grupo, Simpatia do staff, Acompanhamento dado a iniciantes, Presença de PTs e professores",,"Instagram, Facebook, TikTok, WhatsApp, Telegram, Google",Recomendação de um amigo,7
2023/08/03 17:14:46,33,Feminino,Enfermeira ,"Aumentar a flexibilidade, Recuperar a mobilidade, Aumentar a massa muscular",Localização ,"Estacionamento gratuito, Dimensão do espaço, Horários das aulas de grupo, Simpatia do staff, Presença de PTs e professores",Bodyatack e cycling,"Instagram, Facebook",Recomendação de um amigo,10
2023/08/03 18:26:18,36,Masculino,Professor,Aumentar a massa muscular,"Pessoas que já frequentavam o ginásio; aulas específicas do ginásio (HIIT, CROSS FIT).","Estacionamento gratuito, Pouco tempo de espera para usar as máquinas","HIIT, CROSS FIT, CYCLING","Instagram, Facebook, WhatsApp",Recomendação de um amigo,6
2023/08/03 23:30:10,43,Feminino,Cabeleireiro ,"Perder peso, Aumentar a flexibilidade, Recuperar a mobilidade, Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular, Melhorar a autoestima",Primeiro foi porque era no centro da cidade perto do meu local de trabalho.Depois com a mudança continuei porque mesmo mais longe ainda é o mais perto.Mas muito também pelas pessoas e amizades feitas aí longo destes anos como sócia ,"Estacionamento gratuito, Número de máquinas, Dimensão do espaço, Condições dos balneários, Pouco tempo de espera para usar as máquinas, Horários das aulas de grupo, Simpatia do staff, Equipamentos especializados, Acompanhamento dado a iniciantes, Presença de PTs e professores",Cross training ,"Instagram, Facebook, WhatsApp",Recomendação de um amigo,9
2023/08/04 01:05:32,73 anos,Masculino,Aposentado da G.N.R ,"Aumentar a flexibilidade, Previnir problemas de saúde, Aumentar a massa muscular",Foi o primeiro e único ginásio que me inscrevi ,"Estacionamento gratuito, Número de máquinas, Dimensão do espaço, Condições dos balneários, Pouco tempo de espera para usar as máquinas, Horários das aulas de grupo, Simpatia do staff, Equipamentos especializados, Acompanhamento dado a iniciantes, Presença de PTs e professores",Saicling,Facebook,Inscrevi-me antes de haver o ginásio ,10
2023/08/04 11:31:18,44,Feminino,Recepcionista Hotel,"Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular",Localização ,"Estacionamento gratuito, Horários das aulas de grupo, Simpatia do staff, Presença de PTs e professores","Body pumb, cycling, hitt","Instagram, Facebook",Recomendação de um amigo,8
2023/08/04 12:36:22,31,Feminino,Farmacêutica,"Aumentar a flexibilidade, Previnir problemas de saúde, Aumentar a massa muscular",Proximidade na altura com o meu local de trabalho e com a minha residência.,"Estacionamento gratuito, Horários das aulas de grupo, Presença de PTs e professores","Cycling, Body Pump, Localizada, Cross","Instagram, Facebook, WhatsApp",Recomendação de um amigo,6
2023/08/05 11:24:06,47,Masculino,Reformado,"Perder peso, Previnir problemas de saúde",Localização e preços ,Dimensão do espaço,,Instagram,Recomendação de um amigo,8
2023/08/05 12:19:16,21,Feminino,Estudante,"Previnir problemas de saúde, Aumentar a massa muscular","A proximidade da minha residência, permitindo me deslocar a pé",Estacionamento gratuito,,"Instagram, WhatsApp",Pesquisa Google,3
2023/08/05 17:34:55,46,Masculino,Vendedor,"Previnir problemas de saúde, Melhorar a autoestima",A sua localização (antiga) e o seu staff.,"Horários das aulas de grupo, Ambiente criado entre alunos.",Pilates,"Instagram, Facebook, WhatsApp, Telegram",Recomendação de um amigo,1
2023/08/06 00:07:44,34,Feminino,Professora,"Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular",Recomendação por amigos,"Número de máquinas, Condições dos balneários, Simpatia do staff, Acompanhamento dado a iniciantes, Presença de PTs e professores",,"Instagram, Facebook, WhatsApp, Google",Recomendação de um amigo,10
2023/08/07 15:38:36,48,Feminino,Inspetora,"Aumentar a flexibilidade, Aumentar a massa muscular",Muito ,"Estacionamento gratuito, Dimensão do espaço, Condições dos balneários, Horários das aulas de grupo, Simpatia do staff, Acompanhamento dado a iniciantes",Pilates,"Instagram, WhatsApp",Recomendação de um amigo,9
2023/08/07 22:52:33,34,Feminino,Enfermeira,"Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental",Localização ,Estacionamento gratuito,Plus 45 que acabou,"Instagram, Facebook, WhatsApp",Facebook,5
